id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
vRk05TnW7wZEfQBDUHFqgQ,star-burgers-and-fries-el-paso,Star Burgers & Fries,https://s3-media2.fl.yelpcdn.com/bphoto/bbPeuguaqog5uIbogXJNCA/o.jpg,False,https://www.yelp.com/biz/star-burgers-and-fries-el-paso?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,14,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,"{'latitude': 31.77523588094547, 'longitude': -106.4457174}","['pickup', 'delivery']","{'address1': '3900 Rosa Ave', 'address2': None, 'address3': None, 'city': 'El Paso', 'zip_code': '79935', 'country': 'US', 'state': 'TX', 'display_address': ['3900 Rosa Ave', 'El Paso, TX 79935']}",+18582324503,(858) 232-4503,2665.0908892383477,
ousAO2Ns0_YgmKruzqNfFw,papa-burgers-socorro,Papa Burgers,https://s3-media1.fl.yelpcdn.com/bphoto/0jB6ZtvhNNLiACxQGLlHUw/o.jpg,False,https://www.yelp.com/biz/papa-burgers-socorro?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,6,"[{'alias': 'burgers', 'title': 'Burgers'}]",5.0,"{'latitude': 31.670172, 'longitude': -106.281364}",[],"{'address1': '10100 N Lp', 'address2': '', 'address3': '', 'city': 'Socorro', 'zip_code': '79927', 'country': 'US', 'state': 'TX', 'display_address': ['10100 N Lp', 'Socorro, TX 79927']}",+19158607344,(915) 860-7344,19437.30244173298,$
MxY33aARHlyNgXyxi-5NLQ,blazing-tree-brewery-el-paso,Blazing Tree Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/BJm5LYCHK3muEvwy2tI0GQ/o.jpg,False,https://www.yelp.com/biz/blazing-tree-brewery-el-paso?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,62,"[{'alias': 'breweries', 'title': 'Breweries'}]",5.0,"{'latitude': 31.738667, 'longitude': -106.318464}",[],"{'address1': '11426 Rojas Dr', 'address2': 'Ste A-13', 'address3': None, 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['11426 Rojas Dr', 'Ste A-13', 'El Paso, TX 79936']}",+19153073627,(915) 307-3627,11954.345582518008,$$
-vmy1uBcIRvz0s5oNG52ow,el-doggy-kitchen-el-paso,El Doggy Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/RMRGPhmbbPyl4Ry_45JflQ/o.jpg,False,https://www.yelp.com/biz/el-doggy-kitchen-el-paso?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,64,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.7583345024491, 'longitude': -106.272648019034}",['delivery'],"{'address1': '1841 N Zaragoza Rd', 'address2': 'Ste 304', 'address3': None, 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['1841 N Zaragoza Rd', 'Ste 304', 'El Paso, TX 79936']}",+19155261476,(915) 526-1476,15130.380030119084,$$
XQH4xGN7VnhpmwNGZ9bUrQ,pops-better-burger-fabens,Pop's Better Burger,https://s3-media3.fl.yelpcdn.com/bphoto/_csA1A_ioSO_NAMnqtj28A/o.jpg,False,https://www.yelp.com/biz/pops-better-burger-fabens?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,14,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.5,"{'latitude': 31.5061122, 'longitude': -106.154382}",[],"{'address1': '619 N Fabens', 'address2': '', 'address3': '', 'city': 'Fabens', 'zip_code': '79838', 'country': 'US', 'state': 'TX', 'display_address': ['619 N Fabens', 'Fabens, TX 79838']}",+19157643400,(915) 764-3400,41082.94045463123,$
_irWJon4jFDDAJqcWuVXtw,3740-charbroiled-burgers-el-paso,3740 Charbroiled Burgers,https://s3-media4.fl.yelpcdn.com/bphoto/n3lIgWBdKVSNr7nJ4_MmAQ/o.jpg,False,https://www.yelp.com/biz/3740-charbroiled-burgers-el-paso?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,12,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.745091, 'longitude': -106.286235}",['delivery'],"{'address1': '1613 N Zaragoza', 'address2': 'Ste 203', 'address3': '', 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['1613 N Zaragoza', 'Ste 203', 'El Paso, TX 79936']}",+19152754098,(915) 275-4098,14377.014870858717,
SKWjQhlIldGhYLWEOjMtoQ,brauts-and-hots-el-paso-5,Brauts & Hots,https://s3-media4.fl.yelpcdn.com/bphoto/Ed-Ctfwpao_TPYSHXVUN3g/o.jpg,False,https://www.yelp.com/biz/brauts-and-hots-el-paso-5?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,12,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'german', 'title': 'German'}, {'alias': 'tradamerican', 'title': 'American'}]",4.5,"{'latitude': 31.883429, 'longitude': -106.419737}",[],"{'address1': '9555 Dyer St', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79924', 'country': 'US', 'state': 'TX', 'display_address': ['9555 Dyer St', 'El Paso, TX 79924']}",+19152605540,(915) 260-5540,10037.44323416523,
fV6VSR3-xM92W_YlcQQjNg,chase-the-taste-el-paso,Chase the Taste,https://s3-media4.fl.yelpcdn.com/bphoto/oq88Xty-tQaNGBPRAlNHjg/o.jpg,False,https://www.yelp.com/biz/chase-the-taste-el-paso?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,285,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.9249073523, 'longitude': -106.440157409224}",['pickup'],"{'address1': '10771 Gateway Blvd S', 'address2': 'Ste N107', 'address3': None, 'city': 'El Paso', 'zip_code': '79934', 'country': 'US', 'state': 'TX', 'display_address': ['10771 Gateway Blvd S', 'Ste N107', 'El Paso, TX 79934']}",+19152709199,(915) 270-9199,14674.385806641189,$
j7Mra3Cgi7HakV1IhX8nSQ,roscos-burger-inn-el-paso,Rosco's Burger Inn,https://s3-media2.fl.yelpcdn.com/bphoto/um-QVx-Jlk4Z62OlXsu-aw/o.jpg,False,https://www.yelp.com/biz/roscos-burger-inn-el-paso?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,107,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'diners', 'title': 'Diners'}]",4.5,"{'latitude': 31.8066825866699, 'longitude': -106.446746826172}",['delivery'],"{'address1': '3829 Tompkins Rd', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['3829 Tompkins Rd', 'El Paso, TX 79930']}",+19155649028,(915) 564-9028,2365.653728348064,$
ZT8_DRGxo0WZN2smLaswRQ,los-ii-brothers-burgers-canutillo,Los II Brothers Burgers,https://s3-media3.fl.yelpcdn.com/bphoto/YQrtQMoK_USNShkldTmqnA/o.jpg,False,https://www.yelp.com/biz/los-ii-brothers-burgers-canutillo?adjust_creative=cfa4cLB8XFtog_whjRRl8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cfa4cLB8XFtog_whjRRl8A,10,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.9006269816349, 'longitude': -106.599105586697}",[],"{'address1': '6720 Doniphan Dr', 'address2': 'Ste A', 'address3': None, 'city': 'Canutillo', 'zip_code': '79835', 'country': 'US', 'state': 'TX', 'display_address': ['6720 Doniphan Dr', 'Ste A', 'Canutillo, TX 79835']}",+19156424167,(915) 642-4167,20137.369620765097,
